Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Sierra Leone,SLE,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1248363708.6,1256749338.8,1408416911.2,1575774381.1,1683344084.8,1804606614.1,1528631481.5,551066958.2,633810297.6,856852310.4,931127139.3,1050427525.8,1334200316.8,1396671367.5,1428960402.7,1553532071.2,1612508231.3,1734552320.7,1735470066.3,1808128766.7
Solomon Islands,SLB,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,156207110.5,164030802.8,180737376.7,181240395,179639740,167389191.6,174423711.1,178330553.8,166904390.6,172447071.6,230756584.9,257503829.4,228147130.5,203970834.5,187516688.3,207462428.9,263838572.3,376730656.2,323533174.2,350464708.8
Somalia,SOM,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2477537976.4,2476280807.3,2607722167.1,2762599394.4,2775888430,2672234285.5,2762438309.6,2868829766.4,2865716564.1,2943660874.7,2934384056.4,2940364939.5,2940491562,2938897190.3,2837118511.5,2770590306.7,2744666127.8,2833531570.2,5563254812.7,5615896657.9
St. Lucia,LCA,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,222227639.5,252569438.3,286810194.2,331846693.7,355536778.4,415674032.2,369061061,474860076.9,832193627.4,433132167,579625262.7,451199314.8,428334431.4,471822061.9,526960187.7,530150934.5,542172556.6,622106095.4,615753530,638960013.2
St. Vincent and the Grenadines,VCT,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,195077653.9,195046431.7,175623164.1,199272731.1,228632793.9,252622855.6,243484201,201948941.4,232179973.8,246043909.7,295920078.1,304058669.5,288060587.8,311721425.8,340847124.2,343937309.5,333532529.1,337086396.4,326295869.9,356601245
Tajikistan,TJK,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1140676654,1162073154.7,1254304142.6,1272329032.2,1166678857.2,1116909976.5,1060790372.7,1348486856,2497045162.5,2666229139.6,3561185320.5,3922104442.3,4619372232.1,4862292910.8,5123647136.5,5144065918.6,5181125669.9,6028761353.2,5974549916.5,6630788032.2
Tanzania,TZA,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,7187824540.2,6511080019,7145819695.6,7307954236.4,8628762340,8409774096.7,4097945623,5030962807.3,6010233473.7,7685190153.3,8892437728,10020297255.5,11637522702,13235508738.9,14621719528.2,15412332703.6,16380492422.5,18301183902.3,18489828009.3,19584049478.2
Timor-Leste,TLS,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,76035317.8,89494700.4,104305452.7,116733681.1,80907571.1,124522399.4,158056457,203400669.6
Togo,TGO,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1445960550.9,1422893098.6,1601843852.7,1731925829.4,1838337733.3,1686929449.6,1794483965.1,1967192421,1638757942.8,1727194255.2,1283252049.9,629035493.4,753653139.3,932177097.5,1031943531.1,1109293757.3,1400229433.8,1844247074.7,1914185169.6,2205086254.4
Tonga,TON,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,73965562.4,71355546.3,81495989.1,93415984.1,94356377.1,89030079.1,91618892.9,96867967,98959554,114892400.3,153652255.8,191201692.9,197996953.7,199563005.4,195924377.2,184338819.8,174411669.5,193072348.9,186833553.1,186483847.2
Uganda,UGA,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3535147374.5,3768195790.9,4019812753.1,4577712717.6,4789438348.4,4460499217.4,1300697179.9,1653066727.1,2292861399.1,2763176528.1,2974602244.9,3262582093.9,3776142287.5,8559917407.2,8651413339.5,9570701031.6,10086191861.5,11672694087.4,12315104975.9,13970921695.9
Uzbekistan,UZB,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4947978618,5211410616.8,5140357902.1,5321596556.6,5204729495.6,4631813975.6,4513825291.3,4655749411.7,5070478524.9,7027539348,7801789781.5,8299750652.4,9106558505.7,10575939346.5,12451271510.9,13955036957.8,15705217366.4,16792165844.7,17541460517,21745148303.8
Vanuatu,VUT,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,112263772.8,122663924.1,160584256.7,161146227.6,153931970.5,100347467.5,110583704.2,127898893.3,148880846.8,153308882.3,177656192.9,178444531.3,182211942,158471649.6,203273624.2,256793136.3,293420900.7,401420199.8,402236822.4,420581472
"Yemen, Rep.",YEM,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5152412926.4,5187675837,5323448564.2,5480632068.8,5603364949.2,5477559319.6,5713770653.4,6155419537.5,6228636614,6799196018.2,6504445072,6429107186.2,7586177348.9,7688886486.7,7723139695.1,7298876196.1,7062887710.8,7193122745.6,7036509959,7055218065.7
Zambia,ZMB,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5811480208.3,6189776538.4,6674675453.4,6874311297.9,7540236739.5,5370071043.4,2255759667.6,2733123476.2,2954822651.8,3646364120.4,4252910523,4968061660,5722066853.1,6293176917.2,9192670836.5,11778506162.6,15220613707,17380821913.4,19004874225.2,27341427161.4
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: International Debt Statistics: DSSI,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 01/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,
